BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000018.1	BGC0000018.1	Angolamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces eurythermus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000020.1	BGC0000020.1	Ansamitocin biosynthetic gene cluster	t1pks	PKSI	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Actinosynnema
BGC0000022.1	BGC0000022.1	Asperfuranone biosynthetic gene cluster	t1pks	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000023.1	BGC0000023.1	Aurafuron biosynthetic gene cluster	t1pks	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Cystobacteraceae,Stigmatella
BGC0000024.1	BGC0000024.1	Aureothin biosynthetic gene cluster	t1pks	PKSI	Streptomyces thioluteus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000026.1	BGC0000026.1	Avilamycin A biosynthetic gene cluster	t1pks-oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000027.1	BGC0000027.1	Azaphilone biosynthetic gene cluster	t1pks	PKSI	Monascus pilosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0000028.1	BGC0000028.1	Bafilomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces lohii	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000029.1	BGC0000029.1	BE-14106 biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. DSM 21069	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000030.1	BGC0000030.1	Bikaverin biosynthetic gene cluster	t1pks	PKSI	Fusarium fujikuroi IMI 58289	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000031.1	BGC0000031.1	Borrelidin biosynthetic gene cluster	t1pks	PKSI	Streptomyces parvulus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000032.1	BGC0000032.1	Calcimycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces chartreusis NRRL 3882	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000033.1	BGC0000033.1	Calicheamicin biosynthetic gene cluster	t1pks-oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000034.1	BGC0000034.1	Candicidin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000035.1	BGC0000035.1	Chalcomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces bikiniensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000036.1	BGC0000036.1	Chlorothricin biosynthetic gene cluster	t1pks	PKSI	Streptomyces antibioticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000037.1	BGC0000037.1	Cichorine biosynthetic gene cluster	t1pks	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000038.1	BGC0000038.1	Coelimycin biosynthetic gene cluster	butyrolactone-t1pks	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000039.1	BGC0000039.1	Compactin biosynthetic gene cluster	t1pks	PKSI	Penicillium citrinum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000040.1	BGC0000040.1	Concanamycin A biosynthetic gene cluster	t1pks	PKSI	Streptomyces neyagawaensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000041.1	BGC0000041.1	Coronafacic acid biosynthetic gene cluster	t1pks	PKSI	Pseudomonas syringae	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000042.1	BGC0000042.1	Cremimycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. MJ635-86F5	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000043.1	BGC0000043.1	Curacin A biosynthetic gene cluster	t1pks	PKSI	Moorea producens 19L	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Moorea
BGC0000044.1	BGC0000044.1	Dawenol biosynthetic gene cluster	t1pks	PKSI	Stigmatella aurantiaca DW4/3-1	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Cystobacteraceae,Stigmatella
BGC0000045.1	BGC0000045.1	Dehydrocurvularin biosynthetic gene cluster	t1pks	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000046.1	BGC0000046.1	Depudecin biosynthetic gene cluster	t1pks	PKSI	Alternaria brassicicola	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria
BGC0000047.1	BGC0000047.1	Dihydrochalcomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. KCTC 0041BP	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000048.1	BGC0000048.1	Dothistromin biosynthetic gene cluster	t1pks	PKSI	Mycosphaerella pini	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Capnodiales,Mycosphaerellaceae,Mycosphaerella
BGC0000049.1	BGC0000049.1	E-492 / E-975 biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. Eco86	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000050.1	BGC0000050.1	E-837 biosynthetic gene cluster	t1pks	PKSI	Streptomyces aculeolatus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000051.1	BGC0000051.1	Ebelactone biosynthetic gene cluster	t1pks	PKSI	Streptomyces aburaviensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000052.1	BGC0000052.1	ECO-02301 biosynthetic gene cluster	t1pks	PKSI	Streptomyces aizunensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000053.1	BGC0000053.1	Elaiophylin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. DSM4137	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000054.1	BGC0000054.1	Erythromycin biosynthetic gene cluster	t1pks	PKSI	Aeromicrobium erythreum	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Propionibacterineae,Nocardioidaceae,Aeromicrobium
BGC0000055.1	BGC0000055.1	Erythromycin biosynthetic gene cluster	t1pks	PKSI	Saccharopolyspora erythraea NRRL 2338	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Saccharopolyspora
BGC0000056.1	BGC0000056.1	Esperamicin biosynthetic gene cluster	t1pks	PKSI	Actinomadura verrucosospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangineae,Thermomonosporaceae,Actinomadura
BGC0000057.1	BGC0000057.1	F9775 biosynthetic gene cluster	t1pks	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000058.1	BGC0000058.1	FD-891 biosynthetic gene cluster	t1pks	PKSI	Streptomyces graminofaciens	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000059.1	BGC0000059.1	Filipin biosynthetic gene cluster	t1pks	PKSI	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000060.1	BGC0000060.1	Fostriecin biosynthetic gene cluster	t1pks	PKSI	Streptomyces pulveraceus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000061.1	BGC0000061.1	FR-008 biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000062.1	BGC0000062.1	Fumonisin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000063.1	BGC0000063.1	Fumonisin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids	Fusarium oxysporum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum species complex
BGC0000064.1	BGC0000064.1	Fusarin biosynthetic gene cluster	nrps-t1pks	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000066.1	BGC0000066.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000067.1	BGC0000067.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000068.1	BGC0000068.1	Geldanamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000069.1	BGC0000069.1	Gephyronic acid biosynthetic gene cluster	t1pks	PKSI	Cystobacter violaceus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Cystobacteraceae,Cystobacter
BGC0000070.1	BGC0000070.1	Griseofulvin biosynthetic gene cluster	t1pks	PKSI	Penicillium aethiopicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000072.1	BGC0000072.1	Gulmirecin biosynthetic gene cluster	t1pks	PKSI	Pyxidicoccus fallax	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Pyxidicoccus
BGC0000073.1	BGC0000073.1	Halstoctacosanolide biosynthetic gene cluster	t1pks	PKSI	Streptomyces halstedii	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000074.1	BGC0000074.1	Herbimycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000075.1	BGC0000075.1	Hygrocin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000076.1	BGC0000076.1	Hypothemycin biosynthetic gene cluster	t1pks	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000077.1	BGC0000077.1	Hypothemycin biosynthetic gene cluster	t1pks	PKSI	Hypomyces subiculosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreaceae,Hypomyces
BGC0000078.1	BGC0000078.1	Incednine biosynthetic gene cluster	t1pks-oligosaccharide	Others	Streptomyces sp. ML694-90F3	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000079.1	BGC0000079.1	Indanomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces antibioticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000080.1	BGC0000080.1	Jerangolid biosynthetic gene cluster	t1pks	PKSI	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000081.1	BGC0000081.1	Kedarcidin biosynthetic gene cluster	t1pks-nrps	PKS-NRP_Hybrids	Streptoalloteichus sp. ATCC 53650	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Streptoalloteichus
BGC0000082.1	BGC0000082.1	Kijanimicin biosynthetic gene cluster	t1pks-oligosaccharide	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangineae,Thermomonosporaceae,Actinomadura
BGC0000084.1	BGC0000084.1	Laidlomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. CS684	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000085.1	BGC0000085.1	Lankamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces rochei	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000086.1	BGC0000086.1	Lasalocid biosynthetic gene cluster	t1pks	PKSI	Streptomyces lasaliensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000087.1	BGC0000087.1	Lasalocid biosynthetic gene cluster	t1pks	PKSI	Streptomyces lasaliensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000089.1	BGC0000089.1	Lovastatin biosynthetic gene cluster	t1pks	PKSI	Aspergillus terreus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000090.1	BGC0000090.1	Macbecin biosynthetic gene cluster	t1pks	PKSI	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Actinosynnema
BGC0000091.1	BGC0000091.1	Marineosin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000092.1	BGC0000092.1	Megalomicin biosynthetic gene cluster	t1pks	PKSI	Micromonospora megalomicea subsp. nigra	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000093.1	BGC0000093.1	Meilingmycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces nanchangensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000094.1	BGC0000094.1	Methymycin / pikromycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces venezuelae	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000096.1	BGC0000096.1	Midecamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces mycarofaciens	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000097.1	BGC0000097.1	ML-449 biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. MP39-85	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000098.1	BGC0000098.1	Monacolin K biosynthetic gene cluster	t1pks	PKSI	Monascus pilosus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Monascus
BGC0000099.1	BGC0000099.1	Monascorubrin biosynthetic gene cluster	t1pks	PKSI	Talaromyces marneffei	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces
BGC0000100.1	BGC0000100.1	Monensin biosynthetic gene cluster	t1pks	PKSI	Streptomyces cinnamonensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000102.1	BGC0000102.1	Mycinamicin biosynthetic gene cluster	t1pks	PKSI	Micromonospora griseorubida	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000103.1	BGC0000103.1	Mycolactone biosynthetic gene cluster	t1pks	PKSI	Mycobacterium ulcerans Agy99	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Mycobacteriaceae,Mycobacterium
BGC0000104.1	BGC0000104.1	Mycophenolic acid biosynthetic gene cluster	t1pks	PKSI	Penicillium brevicompactum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000105.1	BGC0000105.1	Nanchangmycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces nanchangensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000106.1	BGC0000106.1	Naphthomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. CS	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000107.1	BGC0000107.1	Naphthopyrone biosynthetic gene cluster	t1pks	PKSI	Aspergillus nidulans FGSC A4	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000108.1	BGC0000108.1	Natamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces chattanoogensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000109.1	BGC0000109.1	Nemadectin biosynthetic gene cluster	t1pks	PKSI	Streptomyces cyaneogriseus subsp. noncyanogenus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000110.1	BGC0000110.1	Neoaureothin biosynthetic gene cluster	t1pks	PKSI	Streptomyces orinoci	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000111.1	BGC0000111.1	Neocarzilin biosynthetic gene cluster	t1pks	PKSI	Streptomyces carzinostaticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000112.1	BGC0000112.1	Neocarzinostatin biosynthetic gene cluster	t1pks-butyrolactone	Others	Streptomyces carzinostaticus subsp. neocarzinostaticus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000113.1	BGC0000113.1	Niddamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces caelestis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000114.1	BGC0000114.1	Nigericin biosynthetic gene cluster	t1pks	PKSI	Streptomyces violaceusniger	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000115.1	BGC0000115.1	Nystatin biosynthetic gene cluster	t1pks	PKSI	Streptomyces noursei ATCC 11455	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000116.1	BGC0000116.1	Nystatin-like Pseudonocardia polyene biosynthetic gene cluster	t1pks	PKSI	Pseudonocardia autotrophica	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Pseudonocardia
BGC0000117.1	BGC0000117.1	Oligomycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces avermitilis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000118.1	BGC0000118.1	Pactamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces pactum	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000119.1	BGC0000119.1	Pactamycin biosynthetic gene cluster	t1pks	PKSI	Streptomyces pactum	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000120.1	BGC0000120.1	Patulin biosynthetic gene cluster	t1pks	PKSI	Penicillium expansum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000121.1	BGC0000121.1	Pestheic acid biosynthetic gene cluster	t1pks	PKSI	Pestalotiopsis fici	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Amphisphaeriaceae,Pestalotiopsis
BGC0000122.1	BGC0000122.1	Phenylnannolone A biosynthetic gene cluster	t1pks	PKSI	Nannocystis pusilla	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Nannocystaceae,Nannocystis
BGC0000123.1	BGC0000123.1	Phoslactomycin B biosynthetic gene cluster	t1pks	PKSI	Streptomyces sp. HK803	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
