#BGC Name	Clan Number	Family Number
BGC0001625.1	1592	1592
BGC0001635.1	1602	1602
BGC0001644.1	1611	1611
BGC0001646.1	1613	1613
BGC0001647.1	1614	1614
BGC0001656.1	1623	1623
BGC0001661.1	1628	1628
BGC0001663.1	1630	1630
BGC0001665.1	1632	1632
BGC0001675.1	1642	1642
BGC0001689.1	1655	1655
BGC0001179.1	1685	1685
BGC0001719.1	1685	1685
BGC0000201.1	1689	1689
BGC0000203.1	1689	1689
BGC0000234.1	1689	1689
BGC0000235.1	1689	1689
BGC0000239.1	1689	1689
BGC0000262.1	1689	1689
BGC0000267.1	1689	1689
BGC0000270.1	1689	1689
BGC0000276.1	1689	1689
BGC0001072.1	1689	1689
BGC0001308.1	1689	1689
BGC0001723.1	1689	1689
BGC0001728.1	1694	1694
BGC0001730.1	1696	1696
BGC0001740.1	1706	1706
BGC0001751.1	1716	1716
BGC0001761.1	1726	1726
BGC0001762.1	1727	1727
BGC0001772.1	1737	1737
BGC0001780.1	1745	1745
BGC0001795.1	1760	1760
BGC0001819.1	1784	1784
CS200_c00001_NODE_1_...cluster093	1888	1888
CS783_c00001_NODE_1_...cluster054	1888	1888
CS200_c00001_NODE_1_...cluster198	1993	1993
CS200_c00001_NODE_1_...cluster245	2040	2040
CS200_c00001_NODE_1_...cluster282	2077	2077
CS202_c00001_NODE_1_...cluster069	2153	2153
CS202_c00001_NODE_1_...cluster109	2193	2193
CS200_c00001_NODE_1_...cluster266	2267	2267
CS202_c00001_NODE_1_...cluster183	2267	2267
CS203_c00001_NODE_1_...cluster055	2332	2332
CS203_c00001_NODE_1_...cluster115	2392	2392
CS203_c00001_NODE_1_...cluster126	2403	2403
CS211_c00001_NODE_1_...cluster058	2403	2403
CS203_c00001_NODE_1_...cluster198	2475	2475
CS203_c00001_NODE_1_...cluster202	2479	2479
CS203_c00001_NODE_1_...cluster213	2490	2490
CS204_c00001_NODE_1_...cluster061	2553	2553
CS204_c00001_NODE_1_...cluster090	2582	2582
CS204_c00001_NODE_1_...cluster195	2687	2687
CS204_c00001_NODE_1_...cluster197	2689	2689
CS211_c00001_NODE_1_...cluster001	2701	2701
CS200_c00001_NODE_1_...cluster171	2703	2703
CS202_c00001_NODE_1_...cluster046	2703	2703
CS211_c00001_NODE_1_...cluster003	2703	2703
CS200_c00001_NODE_1_...cluster041	2709	2709
CS200_c00001_NODE_1_...cluster107	2709	2709
CS202_c00001_NODE_1_...cluster099	2709	2709
CS203_c00001_NODE_1_...cluster045	2709	2709
CS203_c00001_NODE_1_...cluster073	2709	2709
CS204_c00001_NODE_1_...cluster009	2709	2709
CS211_c00001_NODE_1_...cluster009	2709	2709
CS783_c00001_NODE_1_...cluster011	2709	2709
CS211_c00001_NODE_1_...cluster068	2768	2768
CS211_c00001_NODE_1_...cluster069	2769	2769
CS211_c00001_NODE_1_...cluster211	2911	2911
CS211_c00001_NODE_1_...cluster270	2970	2970
CS200_c00001_NODE_1_...cluster122	3006	3006
CS202_c00001_NODE_1_...cluster044	3006	3006
CS203_c00001_NODE_1_...cluster050	3006	3006
CS204_c00001_NODE_1_...cluster028	3006	3006
CS211_c00001_NODE_1_...cluster137	3006	3006
CS783_c00001_NODE_1_...cluster029	3006	3006
CS200_c00001_NODE_1_...cluster178	3038	3038
CS202_c00001_NODE_1_...cluster114	3038	3038
CS211_c00001_NODE_1_...cluster087	3038	3038
CS783_c00001_NODE_1_...cluster061	3038	3038
CS783_c00001_NODE_1_...cluster123	3100	3100
CS783_c00001_NODE_1_...cluster137	3114	3114
